review_id,sentence_num,username,date,rating,source,sentence
166,1,geo00,2025-06-18 00:00:00.000,40.0,ltbx,kalalaki mong tao laki ng dede mo
171,1,owelboy18,2025-06-09 00:00:00.000,100.0,ltbx,the Filipino Mulan live action that I could only accept hahahaha nahiya si Deadpool sa jokes per minute sa movie na to HAHAHAHA
172,1,ash_yy,2025-06-08 00:00:00.000,100.0,ltbx,d ka tunay na cinephile pag wala praybeyt benjamin sa letterboxd mo
174,1,bngis,2025-06-08 00:00:00.000,100.0,ltbx,Truly peak filipino cinema
175,1,wyntermelon,2025-06-08 00:00:00.000,100.0,ltbx,i have a distinct memory of watching a cam release of this on a DVD my parents bought since the movie was still showing in theaters
176,1,briwomp,2025-06-06 00:00:00.000,100.0,ltbx,"SO FUNNY I LOVE THIS MOVIE 100% : watched w my dog, moon  (pangit ka-bonding, natulog lang e habang nagpapa-belly rub)"
177,1,indesimishka2,2025-03-15 00:00:00.000,100.0,ltbx,BASTA ANG ANG GANDA NITO
177,2,indesimishka2,2025-03-15 00:00:00.000,100.0,ltbx,"tas yung mga gawa ng tatay nya na ewan ano tawag don, parang gusto ko din ng ganun"
178,1,erikaindahawz,2025-06-05 00:00:00.000,100.0,ltbx,joke after jokes after jokes i miss you direk wenn
179,1,rxfff,2025-06-04 00:00:00.000,100.0,ltbx,plant vs zombie
180,1,clipsofmarks,2025-06-02 00:00:00.000,100.0,ltbx,my humor came from this movie
181,1,maiskonyelo,2025-06-02 00:00:00.000,100.0,ltbx,when someone tells me to play a classic film and i pull up with this masterpiece
182,1,jellojiji,2025-06-01 00:00:00.000,100.0,ltbx,At niligtas ng mga bading ang bansa
183,1,thenaaaa,2020-08-16 00:00:00.000,100.0,ltbx,"those who get it, get it"
183,2,thenaaaa,2020-08-16 00:00:00.000,100.0,ltbx,"those who dont, dont"
183,3,thenaaaa,2020-08-16 00:00:00.000,100.0,ltbx,this is definitely those films you watch for fun without taking anything seriously
184,1,ashongratings,2011-10-26 00:00:00.000,100.0,ltbx,if i only have 1hr and 45mins remaining to live e2 papanoorin k
185,1,lvlykaoxy,2025-05-28 00:00:00.000,100.0,ltbx,gets ko si benjamin
186,1,redvelvet_rope,2025-05-27 00:00:00.000,100.0,ltbx,"""Eh, ganun talaga"
